Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
4.0,Slav Animals,47,15,0,5,4,4,5,3,6,7.0,0.0,3.0,5.0,Lobby 2,Semifinals,Preseason_Qualifier_2
5.0,OF,44,8,3,8,1,11,1,7,4,4.0,7.0,1.0,3.0,Lobby 2,Semifinals,Preseason_Qualifier_2
6.0,USB,41,9,3,19,1,2,4,2,5,13.0,0.0,5.0,3.0,Lobby 2,Semifinals,Preseason_Qualifier_2
7.0,Natural Killer,40,10,4,20,0,3,11,16,6,18.0,0.0,4.0,5.0,Lobby 2,Semifinals,Preseason_Qualifier_2
8.0,Duty calls,39,6,5,11,3,1,9,10,1,17.0,0.0,7.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_2
9.0,ZETTA,38,4,0,17,0,7,3,17,0,1.0,8.0,8.0,5.0,Lobby 2,Semifinals,Preseason_Qualifier_2
10.0,ROCKETZ TEAM,37,11,1,1,11,8,2,15,0,8.0,1.0,10.0,2.0,Lobby 2,Semifinals,Preseason_Qualifier_2
11.0,PiscoSour,36,1,8,4,4,9,4,14,0,19.0,0.0,19.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_2
12.0,ALFA WARRIORS,34,3,3,16,0,12,2,13,0,10.0,0.0,2.0,9.0,Lobby 2,Semifinals,Preseason_Qualifier_2
13.0,UltiMaTuM,24,7,0,6,8,13,0,5,1,12.0,3.0,17.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_2
