Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
3,GS,66,15,0,12,8,8,11,10,4,Lobby 1,Finals,2,9,7,16,APAC_South
4,EVO BERZ,49,13,0,10,2,1,12,1,6,Lobby 1,Finals,19,0,9,0,APAC_South
5,SNG,45,2,6,2,4,11,0,8,3,Lobby 1,Finals,8,2,6,4,APAC_South
6,PWLS,44,19,0,4,9,17,0,9,6,Lobby 1,Finals,16,0,1,10,APAC_South
7,Estrell,41,1,11,11,0,15,1,6,0,Lobby 1,Finals,3,5,19,0,APAC_South
8,RL.XV,36,3,1,8,0,10,2,3,7,Lobby 1,Finals,6,4,15,0,APAC_South
9,Pavlova,33,4,2,1,4,9,0,13,2,Lobby 1,Finals,14,0,11,3,APAC_South
10,INF,29,14,0,13,2,2,5,7,0,Lobby 1,Finals,9,2,12,3,APAC_South
11,On the Sticks,28,10,3,5,1,6,7,5,1,Lobby 1,Finals,11,2,17,0,APAC_South
12,April,26,17,3,7,2,5,3,15,0,Lobby 1,Finals,5,3,13,2,APAC_South
13,WGGxPK,23,12,3,14,4,16,0,4,3,Lobby 1,Finals,17,0,4,1,APAC_South
14,RL.Genesis,23,9,3,18,0,7,0,19,0,Lobby 1,Finals,10,1,2,3,APAC_South
15,WGG,22,5,12,9,2,19,1,17,0,Lobby 1,Finals,18,1,18,0,APAC_South
16,MBTN,18,16,0,17,0,3,4,18,0,Lobby 1,Finals,15,3,16,3,APAC_South
17,Antiaa,13,8,0,15,0,18,0,12,3,Lobby 1,Finals,12,1,5,0,APAC_South
18,WHIZ,11,18,0,16,0,14,0,14,2,Lobby 1,Finals,7,2,8,0,APAC_South
19,PG,8,7,1,19,0,12,0,16,0,Lobby 1,Finals,13,0,10,0,APAC_South
20,Dimple Esport,0,0,0,0,0,0,0,0,0,Lobby 1,Finals,0,0,0,0,APAC_South
1,BCG,80,1,13,5,10,1,9,1,8,Lobby 1,Round_2,,,,,EMEA
2,GIGI,62,18,1,16,0,4,25,2,22,Lobby 1,Round_2,,,,,EMEA
3,SMS,56,5,6,2,14,2,9,12,4,Lobby 1,Round_2,,,,,EMEA
4,AAS,36,12,3,1,7,3,0,6,3,Lobby 1,Round_2,,,,,EMEA
5,bykva U,23,4,7,8,6,18,0,10,1,Lobby 1,Round_2,,,,,EMEA
6,WhyUs,22,3,5,6,2,16,0,8,3,Lobby 1,Round_2,,,,,EMEA
7,AP,22,2,4,7,1,15,1,9,1,Lobby 1,Round_2,,,,,EMEA
8,Wisps,20,10,4,10,3,9,3,5,0,Lobby 1,Round_2,,,,,EMEA
9,NoWayFzB,18,6,0,4,2,8,2,13,3,Lobby 1,Round_2,,,,,EMEA
10,RNGBless,18,9,4,17,0,10,1,3,2,Lobby 1,Round_2,,,,,EMEA
11,Excellent Era,18,7,0,3,1,7,0,7,1,Lobby 1,Round_2,,,,,EMEA
12,MOB INT,15,15,1,11,2,14,0,4,4,Lobby 1,Round_2,,,,,EMEA
13,Exalty,14,8,10,13,0,19,0,15,0,Lobby 1,Round_2,,,,,EMEA
14,LegitGoats,12,13,0,14,6,6,1,19,0,Lobby 1,Round_2,,,,,EMEA
